Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,BB,1B,2B,3B,HR,ROE,K,HBP,FO,GO,LO,Popup#
1,1177796352,A. Tan,Andrew Tan,Tan,2B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,0,0,0,1,1,0,2,0,2,5,1,0
1,1244527872,T. Reifler,Tommy Reifler,Reifler,LF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,0,7,1,0,0,0,2,0,4,8,0,0
1,1281032192,T. Yunger,Trey Yunger,Yunger,LF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,2,4,0,0,0,0,1,0,2,2,1,0
1,1234612480,J. Decker,Johnny Decker,Decker,RF,Marist College,MRST,730374656,Marist,BBC,R,R,3,4,1,1,0,0,4,0,1,2,0,0
1,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,S,R,2,2,0,1,0,0,6,1,1,4,1,0
1,1173606400,W. Mize,Will Mize,Mize,SS,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,1,2,0,0,1,0,2,0,3,3,1,0
1,1312923648,G. Schultz,Garrett Schultz,Schultz,CF,Xavier University,XAV,5464,Xavier,BBC,R,R,3,2,1,0,0,0,5,0,1,4,0,0
1,1208383232,A. Brait,Andrew Brait,Brait,3B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,3,3,0,0,1,0,4,0,4,5,0,0
1,1113764352,C. Cornblum,Couper Cornblum,Cornblum,LF,Purdue University,PUR,730353152,Purdue,BBC,R,R,0,2,1,0,0,0,2,0,2,5,0,0
1,1250755584,L. Miller-green,Lyle Miller-green,Miller-green,DH,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,4,3,2,0,2,1,0,1,2,5,1,0
1,1226354432,L. Zimmerman,Luke Zimmerman,Zimmerman,1B,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,1,2,0,0,0,0,5,0,1,1,1,0
1,1336014848,C. Benzin,Cooper Benzin,Benzin,LF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,5,2,0,0,1,0,1,0,4,0,3,0
1,1192879360,C. Hall,Christian Hall,Hall,DH,Auburn University,AUB,5466,Auburn,BBC,L,L,1,2,1,0,0,0,4,0,6,2,0,0
1,1305487360,C. Smith,Cole Smith,Smith,DH,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,6,6,2,0,0,0,2,0,2,6,0,0
1,1079823872,J. Croom,Jac Croom,Croom,2B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,2,0,0,0,0,1,7,0,2,3,1,0
1,1254691328,B. Drapeau,Brandon Drapeau,Drapeau,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,1,1,1,0,0,0,2,1,0,3,1,0
1,1149536512,J. Hinderleider,Jacob Hinderleider,Hinderleider,3B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0,3,1,1,2,0,2,1,2,2,0,0
1,1210024448,H. Torres,Humberto Torres,Torres,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,0,3,1,0,0,0,2,3,4,1,1,0
1,1288857600,B. Rozenblum,Ben Rozenblum,Rozenblum,DH,University of South Florida,USF,2292,South Florida,BBC,R,R,0,0,0,1,0,0,5,1,1,3,0,0
1,1225305344,K. Madden,Kevin Madden,Madden,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,2,3,0,0,1,0,2,0,0,2,1,0
1,1299733248,G. Magill,Grant Magill,Magill,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,0,2,0,0,0,1,5,0,5,3,1,0
1,1193067264,E. Grintz,Eric Grintz,Grintz,C,High Point University,HP,730321152,High Point,BBC,R,R,0,3,0,0,0,1,1,2,3,3,0,0
1,1256347392,J. Guy,Jaylen Guy,Guy,CF,University of Florida,FLA,730168320,Florida,BBC,R,R,2,2,1,0,0,0,0,1,2,1,1,0
1,1311749888,P. Chatagnier,Peyton Chatagnier,Chatagnier,2B,Texas Christian University,TCU,5045,TCU,BBC,R,R,0,2,0,0,0,0,3,1,2,1,1,0
1,1204802816,L. Kohler,Logan Kohler,Kohler,3B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,6,4,1,0,0,0,7,1,3,7,0,0
1,1133095680,L. Longo,Luke Longo,Longo,DH,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,2,2,0,0,0,0,4,0,3,0,0,0
1,1234327296,J. Hay,Jack Hay,Hay,DH,Alabama State University,ALST,4765,Alabama State,BBC,L,R,0,3,1,0,1,0,3,1,3,5,0,0
1,1126612480,D. Glancy,David Glancy,Glancy,LF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,3,1,1,0,2,1,0,1,3,5,0,0
1,1317943552,N. Rose,Nathan Rose,Rose,DH,Tulane University,TULN,730354176,Tulane,BBC,R,R,2,4,0,0,2,0,5,2,2,3,1,0
1,1303944704,M. Mccormick,Matt Mccormick,Mccormick,1B,Xavier University,XAV,5464,Xavier,BBC,L,R,5,3,0,0,1,1,9,2,2,5,1,0
1,1203295232,D. Carter,Dillon Carter,Carter,CF,University of Georgia,UGA,226,Georgia,BBC,L,R,2,0,0,0,2,0,2,1,1,2,0,0
1,1324515072,L. Banjoff,Leighton Banjoff,Banjoff,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,2,3,0,0,1,1,0,0,6,5,1,0
1,1324515840,L. Boynton,Luke Boynton,Boynton,1B,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,2,1,0,0,2,0,3,0,0,3,0,0
1,1287397376,T. Larue,Tyler Larue,Larue,C,Houston Baptist University,HBU,730157824,Houston Baptist,BBC,R,R,0,2,1,0,0,0,1,0,3,2,1,0
1,1341195264,M. Timbrook,Mack Timbrook,Timbrook,2B,University of Michigan,MICH,2290,Michigan,BBC,L,R,3,1,0,0,0,1,5,0,0,3,0,0
1,1200778240,P. Noland,Parker Noland,Noland,2B,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,6,4,1,0,0,0,10,0,1,6,0,0
1,1248128000,J. Obertop,Jimmy Obertop,Obertop,1B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,4,1,0,0,0,1,4,0,5,1,0,0
1,1192876288,C. Cranford,Collier Cranford,Cranford,SS,University of Kansas,KU,730360064,Kansas,BBC,R,R,1,2,2,0,1,0,1,0,2,4,1,0
1,1192975104,A. Milazzo,Alex Milazzo,Milazzo,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,3,3,0,0,0,0,2,0,1,1,1,0
1,1241783808,M. Sanford,Mitchell Sanford,Sanford,RF,University of New Orleans,UNO,5380,New Orleans,BBC,L,R,3,5,2,0,1,1,6,0,3,5,1,0
1,1278035968,H. Jessee,Hunter Jessee,Jessee,LF,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,1,2,0,0,0,0,3,1,4,4,0,0
1,1106872832,J. Bojorquez,Jorge Bojorquez,Bojorquez,2B,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,0,2,2,0,0,0,5,1,2,7,0,0
1,1290703104,B. Camper,Burke Camper,Camper,DH,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,2,1,1,0,1,0,2,0,2,1,1,0
1,1335951104,W. Havens,Willie Havens,Havens,LF,Longwood University,LONG,730219264,Longwood,BBC,L,R,0,1,2,0,1,0,2,3,0,2,0,0
1,1117157376,T. Harlan,Trotter Harlan,Harlan,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,1,1,1,0,1,0,1,1,5,1,0,0
1,1241148928,B. Greenly,Bryce Greenly,Greenly,CF,University of Delaware,DEL,730203136,Delaware,BBC,R,R,3,3,0,0,0,0,4,0,2,0,0,0
1,1083798528,B. Seaburg,Brayden Seaburg,Seaburg,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,2,3,0,0,0,1,3,1,0,2,1,0
1,1083798784,D. Melnick,Danny Melnick,Melnick,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,1,1,3,1,0,1,2,2,4,6,2,0
1,1086813952,T. Lott,Travis Lott,Lott,C,The Citadel,CIT,730366720,The Citadel,BBC,L,R,1,2,2,1,0,0,1,2,2,4,0,0
1,1130692352,T. Williams,Tyler Williams,Williams,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,0,2,1,0,1,0,2,0,1,5,0,0
1,1174036224,S. Hojnar,Sam Hojnar,Hojnar,2B,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,3,0,1,1,1,0,11,0,0,6,1,0
1,1142882304,G. Smith,Grant Smith,Smith,SS,University of Kentucky,UK,5362,Kentucky,BBC,R,R,1,3,1,0,0,0,3,0,0,2,0,0
1,1318719488,R. Vogel,Ryan Vogel,Vogel,CF,Bradley University,BRAD,730253312,Bradley,BBC,R,R,5,1,1,0,0,0,4,0,5,2,0,0
1,1319593216,C. Husmann,Carson Husmann,Husmann,RF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,1,1,1,0,1,0,3,1,1,1,0,0
1,1088061440,R. Hamchuk,Robert Hamchuk,Hamchuk,LF,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,1,1,0,1,0,0,3,0,4,3,2,0
1,1311363072,P. Leeper,Peyton Leeper,Leeper,3B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,S,R,0,2,0,0,0,0,6,1,1,1,1,0
1,1285053440,C. Dicochea,Christian Dicochea,Dicochea,2B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,3,0,0,0,1,0,1,2,7,0,0
