Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,BB,1B,2B,3B,HR,ROE,K,HBP,FO,GO,LO,Popup#
1,1250752768,J. Rainess,Jake Rainess,Rainess,SS,University of Houston,HOU,3030,Houston,BBC,R,R,3,6,3,1,2,0,19,3,5,6,0,0
1,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,S,R,9,7,3,1,1,0,12,0,5,12,2,0
1,1324510976,K. Riesselmann,Kyle Riesselmann,Riesselmann,RF,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,L,3,4,3,0,0,1,11,1,1,4,0,0
1,1254691584,D. Hoy,Dylan Hoy,Hoy,2B,University of Louisville,LOU,5467,Louisville,BBC,L,R,0,5,1,0,0,0,1,0,2,8,0,0
1,1269176832,H. Koehler,Henry Koehler,Koehler,CF,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,5,5,1,0,1,0,11,0,1,7,0,0
1,1217482752,J. Kido,Joe Kido,Kido,2B,Indiana State University,INST,730350080,Indiana State,BBC,L,R,3,1,0,0,0,1,0,0,3,3,0,0
1,1240949760,K. Harbison,Kyle Harbison,Harbison,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,6,2,1,0,0,0,12,0,3,5,0,0
1,1145427712,T. Brewer,Tyrell Brewer,Brewer,3B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,6,8,2,0,0,0,4,1,2,8,1,0
1,1082860800,K. Putsky,Kevin Putsky,Putsky,RF,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,L,2,3,2,0,1,1,6,1,5,10,1,0
1,1311639296,T. Morgan,Trey Morgan,Morgan,P,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,2,5,0,0,0,0,2,1,4,6,1,0
1,1102314496,B. Hylton,Brandon Hylton,Hylton,DH,Stetson University,STET,730261504,Stetson,BBC,L,R,3,4,1,0,0,0,8,0,1,5,2,0
1,1217524480,C. Evans,Cole Evans,Evans,RF,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,1,1,0,0,0,0,1,0,2,4,1,0
1,1193779968,S. Rosso,Santino Rosso,Rosso,3B,Hofstra University,HOF,730245120,Hofstra,BBC,S,R,2,10,2,0,4,0,4,0,6,9,4,0
1,1126989824,J. Frank,Jack Frank,Frank,RF,Michigan State University,MSU,1551,Michigan State,BBC,L,L,9,9,4,1,1,0,8,0,3,6,3,0
1,1126573056,B. Voth,Brant Voth,Voth,C,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,S,R,6,1,0,0,0,0,4,0,7,3,2,0
